,zoneid,wealth index,crime index
13828,40780-01089010624,0.52,-0.41
13829,40780-01083020802,0.1,-0.47
13830,40780-01089010501,0.33,-0.42
13831,40780-01089002921,0.03,0.77
13832,19450-,-0.74,-0.3
13833,58708-,-0.63,-0.13
13834,67402-05055480200,-0.7,-0.7
13835,67402-05055480700,-1.17,1.15
13836,67402-05055480300,-0.43,-0.75
13837,67402-05055480400,-0.72,0.89
13838,67402-05055480802,-0.37,0.52
13839,67402-05055480801,-0.42,0.52
13840,67402-05055480500,-1.07,1.03
13841,67402-05055480100,-0.84,0.14
13842,67402-05055480600,-0.57,-0.66
13843,34826-,-0.6,-0.69
13844,37918-,-1.32,0.41
13845,35623-,-0.83,-0.74
13846,50176-39029951300,-0.55,-0.81
13847,50176-39029951400,-0.63,-0.76
13848,50176-39029951100,-0.75,-0.72
13849,50176-39029951200,-0.78,0.07
13850,08209-,-0.09,-0.5
13851,23905-,-0.66,-0.59
13852,38026-,-1.06,-0.78
13853,75502-,-0.5,-0.18
13854,05923-,-0.56,-0.01
13855,03601-,-0.78,-0.24
13856,15940-,0.94,-0.55
13857,56305-28075000300,-0.74,1.36
13858,56305-28075010202,-0.14,-0.54
13859,56305-28075010201,-0.6,-0.55
13860,56305-28075000200,-1.3,2.42
13861,56305-28075000600,-1.57,1.73
13862,56305-28075001102,-0.52,-0.18
13863,56305-28075010600,-0.68,-0.58
13864,56305-28075000700,-0.47,0.23
13865,56305-28075001101,0.43,0.17
13866,56305-28075010302,-0.47,-0.68
13867,56305-28075010301,-0.44,-0.69
13868,56305-28075010400,-1.07,-0.58
13869,56305-28075001000,-0.87,0.07
13870,56305-28075010700,-1.42,0.95
13871,56305-28075010500,-0.38,-0.62
13872,56305-28075000400,-1.38,2.04
13873,56305-28075000900,-1.09,0.53
13874,86302-36067012700,-0.31,-0.46
13875,86302-36067005500,-1.07,1.17
13876,86302-36067016002,0.74,-0.81
13877,86302-36067015100,0.43,-0.54
13878,86302-36067011231,-0.06,-0.1
13879,86302-36067015500,0.2,-0.38
13880,86302-36067014900,0.17,-0.37
13881,86302-36067010321,0.46,-0.65
13882,86302-36067011232,0.14,-0.67
13883,86302-36067011101,0.3,-0.4
13884,86302-36067011202,0.47,-0.53
13885,86302-36067015202,1.2,-0.74
13886,86302-36067014500,-0.22,0.55
13887,86302-36067016400,0.07,-0.53
13888,86302-36067015201,0.93,-0.66
13889,86302-36067010322,0.53,-0.62
13890,86302-36067015203,0.35,-0.58
13891,86302-36067011800,-0.49,-0.39
13892,86302-36067011401,0.48,-0.66
13893,86302-36067011241,0.97,-0.75
13894,86302-36067011022,-0.21,-0.24
13895,86302-36075020901,-0.72,-0.4
13896,86302-36067011011,0.17,-0.41
13897,86302-36067016300,0.5,-0.64
13898,86302-36067016200,-0.55,-0.18
13899,86302-36067010500,0.07,-0.65
13900,86302-36075020702,-0.44,-0.33
13901,86302-36067011600,0.08,-0.62
13902,86302-36067011102,-0.52,-0.11
13903,86302-36067010200,0.07,-0.69
13904,86302-36067006000,-0.65,0.69
13905,86302-36067013400,-0.02,-0.46
13906,86302-36067015400,-0.28,-0.48
13907,86302-36067011201,-0.51,-0.18
13908,86302-36067011700,-0.42,-0.59
13909,86302-36067011242,0.04,-0.37
13910,86302-36067012400,-0.09,-0.4
13911,86302-36067010900,-0.33,-0.18
13912,86302-36067016100,0.39,-0.63
13913,86302-36067010600,-0.35,-0.47
13914,86302-36067014700,1.19,-0.32
13915,86302-36067015000,1.0,-0.7
13916,86302-36067010100,0.51,-0.74
13917,86302-36067014400,-0.63,0.94
13918,86302-36067012600,-0.06,-0.18
13919,86302-36067010301,0.06,-0.58
13920,86302-36067012300,0.31,-0.53
13921,86302-36067014600,-0.3,0.26
13922,13240-,-0.13,-0.4
13923,16615-,-0.92,-0.47
13924,04357-27099000800,-0.63,0.98
13925,04357-27099000410,-1.16,0.01
13926,04357-27099000300,-0.71,0.9
13927,04357-27099001000,-0.44,-0.59
13928,04357-27099000200,-0.26,-0.0
13929,04357-27099000600,-0.64,-0.23
13930,04357-27099000100,-0.44,-0.59
13931,04357-27099000900,0.2,-0.6
13932,31411-42121200600,-0.82,-0.79
13933,31411-42121200200,-0.4,-0.81
13934,31411-42121200500,-0.63,-0.34
13935,31411-42121200300,-0.92,-0.33
13936,31411-42121200400,-0.59,-0.26
13937,74638-18177010800,-0.81,-0.87
13938,74638-39135460100,-0.47,-0.86
13939,74638-39135400100,-0.56,-0.73
13940,74638-18177010100,-0.08,-0.87
13941,74638-18177001000,-0.74,-0.72
13942,74638-18177000500,-1.17,-0.69
13943,74638-18177000900,-1.18,-0.8
13944,74638-18177000800,-0.85,-0.57
13945,74638-18177001100,-0.13,-0.85
13946,74638-18177000400,-0.58,-0.89
13947,74638-18177010700,0.17,-0.91
13948,74638-18177000600,-0.99,-0.82
13949,74638-18177000700,-0.51,-0.85
13950,74638-18177010500,-0.34,-0.89
13951,75826-,-0.65,-0.0
13952,94672-,-0.7,-0.29
13953,80794-,-0.91,2.82
13954,07489-,-0.29,-0.9
13955,09919-,-0.7,-0.6
13956,35704-,-0.84,-0.19
13957,39295-,-0.73,-0.53
13958,07057-,-0.52,0.0
13959,18883-,-0.86,-0.66
13960,94537-,-0.93,-0.62
13961,96616-,-0.89,-0.4
13962,96481-,-1.39,-0.03
13963,21421-22001960400,-0.34,-0.58
13964,21421-22001961000,-0.9,0.55
13965,21421-22001960800,-0.9,0.09
13966,21421-22001960900,-1.15,0.4
13967,21421-22001961200,-0.78,-0.51
13968,94618-,-0.56,0.43
13969,64945-49057200203,-0.62,2.5
13970,64945-49057210600,-0.43,0.12
13971,64945-49003960601,-0.56,0.58
13972,64945-49011126801,1.38,-0.48
13973,64945-49057210506,-0.09,-0.27
13974,64945-49057200100,-0.44,1.44
13975,64945-49011125405,0.17,-0.2
13976,64945-49057210203,0.24,-0.33
13977,64945-49057210302,-0.25,0.17
13978,64945-49057201500,0.16,0.43
13979,64945-49057210304,0.3,-0.52
13980,64945-49057200700,-0.28,1.05
13981,64945-49011126406,-0.12,-0.12
13982,64945-49003960702,-0.51,0.01
13983,64945-49057210509,0.13,-0.32
13984,64945-49057200204,-0.29,0.71
13985,64945-49011126600,-0.16,-0.35
13986,64945-49011125908,0.7,0.16
13987,64945-49011126404,1.32,-0.52
13988,64945-49057210505,0.51,-0.5
13989,64945-49057210303,0.73,-0.66
13990,64945-49057210201,0.5,-0.33
13991,64945-49011125906,0.59,-0.17
13992,64945-49003960802,0.22,-0.36
13993,64945-49057202000,1.38,-0.22
13994,64945-49011126101,0.22,-0.51
13995,64945-49011125406,0.61,-0.57
13996,64945-49057210504,0.51,-0.62
13997,64945-49057200500,-0.67,2.22
13998,64945-49011126405,1.59,-0.51
13999,64945-49011126304,0.85,-0.34
14000,64945-49011127003,0.46,-0.42
14001,64945-49011127004,-0.01,-0.23
14002,64945-49011126901,-0.38,-0.15
14003,64945-49011125905,0.02,0.73
14004,64945-49011125303,0.33,-0.5
14005,64945-49011126002,0.59,-0.42
14006,64945-49011126203,1.83,-0.22
14007,64945-49011125804,0.53,-0.18
14008,64945-49011126700,-0.35,0.09
14009,64945-49011125104,0.81,-0.57
14010,64945-49011126306,0.11,0.1
14011,64945-49057200600,-0.28,1.26
14012,64945-49011126500,0.47,-0.5
14013,64945-49003960701,-0.54,0.28
14014,64945-49011126802,0.79,-0.45
14015,64945-49057210204,-0.03,-0.4
14016,64945-49011126105,0.62,-0.5
14017,64945-49057200300,-0.52,1.0
14018,64945-49011127002,-0.11,0.15
14019,64945-49011126104,1.07,-0.7
14020,64945-49057210402,0.29,-0.4
14021,64945-49011126902,0.23,-0.15
14022,12970-,0.16,0.18
14023,80524-01047956400,-1.5,2.82
14024,80524-01047956100,-0.65,-0.62
14025,80524-01047956701,-0.33,0.29
14026,80524-01047956201,-0.72,-0.5
14027,80524-01047957300,-1.22,-0.2
14028,80524-01047957200,-1.14,-0.15
14029,80524-01047956300,-1.18,1.51
14030,80524-01047956800,-1.02,0.65
14031,80524-01047956500,-1.57,2.16
14032,80524-01047956600,-1.02,3.19
14033,80524-01047956702,-0.87,0.89
14034,95968-,-0.81,-0.59
14035,47530-42071013400,-0.41,0.08
14036,47530-42071013601,0.04,-0.47
14037,47530-42071010702,-0.38,-0.48
14038,47530-42071012002,-0.2,-0.7
14039,47530-42071012103,0.03,-0.83
14040,47530-42071010102,-0.35,-0.45
14041,47530-42071012302,-0.4,-0.27
14042,47530-42071010101,0.09,-0.86
14043,47530-42071013304,0.95,-0.77
14044,47530-42071012502,-0.1,-0.75
14045,47530-42071011400,-0.89,0.41
14046,47530-42071013701,-0.47,-0.64
14047,47530-42071013202,-0.15,0.02
14048,47530-42071010701,-0.23,-0.36
14049,47530-42071013204,0.75,-0.01
14050,47530-42071012501,0.39,-0.87
14051,47530-42071011902,0.39,-0.47
14052,47530-42071010801,0.27,-0.77
14053,47530-42071011701,0.03,-0.45
14054,47530-42071013301,0.02,-0.64
14055,47530-42071011600,0.36,-0.74
14056,47530-42071013901,0.13,-0.58
14057,47530-42071011503,-0.14,-0.63
14058,47530-42071013303,0.34,-0.72
14059,47530-42071010900,-0.31,-0.22
14060,47530-42071012102,0.5,-0.8
14061,47530-42071012104,0.1,-0.75
14062,47530-42071011502,-0.48,-0.02
14063,47530-42071013702,0.0,-0.72
14064,47530-42071013602,-0.59,-0.44
14065,47530-42071011504,0.2,-0.67
14066,47530-42071010300,-0.09,-0.81
14067,47530-42071013502,-0.13,0.05
14068,47530-42071012800,-0.38,-0.3
14069,47530-42071013203,-0.07,-0.21
14070,47530-42071011300,-0.48,-0.02
14071,47530-42071010400,-0.5,-0.21
14072,47530-42071013501,-0.35,-0.11
14073,47530-42071010202,-0.09,-0.81
14074,26146-,-0.95,-0.36
14075,02440-,-0.81,0.1
14076,66835-,-1.05,0.15
14077,46099-,-1.15,-0.32
14078,16210-,-0.31,-0.5
14079,71020-22097960600,-0.82,-0.51
14080,71020-22097961700,-0.67,-0.45
14081,71020-22097960500,-0.84,-0.61
14082,71020-22097960300,-1.19,-0.54
14083,73639-22001960600,-0.98,-0.32
14084,73639-22001960800,-0.9,0.09
14085,73639-22001961200,-0.78,-0.51
14086,73639-22001960700,-1.03,-0.09
14087,33004-,-0.87,-0.36
14088,00388-,-0.81,-0.81
14089,34246-31079000900,-0.83,1.62
14090,34246-31079001000,-0.58,-0.15
14091,34246-31079000300,-0.75,1.89
14092,34246-31079000700,-0.66,1.28
14093,34246-31079000800,-0.22,0.36
14094,34246-31079001200,0.34,-0.25
14095,34246-31079000400,-0.73,0.29
14096,34246-31079000600,0.02,-0.51
14097,34246-31079000200,-0.76,0.21
14098,34246-31079000500,-0.03,-0.38
14099,34246-31079001100,-0.48,-0.07
14100,34246-31079001300,-0.03,-0.7
14101,34246-31079000100,-0.06,-0.69
14102,34246-31079001400,-0.45,-0.68
14103,34246-31121966700,-0.35,-0.93
14104,63406-31119960600,-0.46,-0.52
14105,63406-31119960900,-0.75,0.54
14106,63406-31119960801,-0.12,-0.47
14107,63406-31119960802,0.71,-0.68
14108,63406-31167962200,-0.32,-0.76
14109,63406-31119961100,-0.48,-0.63
14110,63406-31119961000,-0.93,0.35
14111,63406-31119960700,-0.99,-0.33
14112,51337-,-0.58,-0.83
14113,92323-,-0.61,-0.38
14114,15373-,-0.62,-0.61
14115,88003-,-0.23,-0.7
14116,80173-,-0.82,-0.33
14117,21934-,-0.61,-0.47
14118,45991-13295020601,-0.31,-0.53
14119,45991-13295020800,-0.53,-0.62
14120,45991-13295020901,-0.7,-0.5
14121,45991-13295020602,-0.69,-0.53
14122,45991-13295020700,-1.19,0.39
14123,32734-,-0.87,0.18
14124,61813-41071030301,0.86,-0.62
14125,61813-41071030101,1.29,-0.62
14126,61813-41071030201,-0.39,0.07
14127,61813-41071030302,1.79,-0.78
14128,61813-41071030102,0.41,-0.48
14129,61813-41071030202,-0.27,-0.06
14130,67882-,-0.58,-0.76
14131,57061-42119090400,-0.09,-0.9
14132,57061-42119090502,-0.19,-0.67
14133,57061-42119090200,-0.51,-0.75
14134,57061-42119090300,-0.45,-0.65
14135,50813-37025041601,-0.08,-0.72
14136,50813-37167930801,-0.4,-0.64
14137,50813-37167930802,-0.28,-0.66
14138,50813-37025041602,-0.21,-0.64
14139,11566-,-0.92,-0.13
14140,88597-,-0.8,-0.06
14141,29737-39063000500,-0.88,0.15
14142,29737-39063000800,-0.58,0.78
14143,29737-39063000600,-0.47,-0.06
14144,29737-39063001000,-0.18,-0.44
14145,29737-39063001300,-0.05,-0.83
14146,29737-39063001100,-0.17,-0.4
14147,29737-39063000200,0.61,-0.81
14148,29737-39063000700,0.25,-0.34
14149,29737-39063000400,-0.04,-0.42
14150,29737-39063000900,-1.35,0.01
14151,29737-39063000300,0.15,-0.85
14152,72586-,-0.94,-0.2
14153,70588-,-0.65,-0.06
14154,70183-,-0.62,-0.53
14155,15562-,-0.73,-0.81
14156,91584-36117020201,0.02,-0.77
14157,91584-36117020302,-0.13,-0.62
14158,91584-36117020202,0.26,-0.8
14159,01117-,-0.78,-0.05
14160,74601-37133000301,-0.89,-0.5
14161,74601-37133000202,-0.56,-0.51
14162,74601-37133001200,-0.54,-0.3
14163,74601-37133000201,-0.63,-0.56
14164,87409-,-0.67,-0.07
14165,06355-,-0.03,-0.75
14166,34300-26081011002,0.39,-0.6
14167,34300-26081014701,-0.96,-0.15
14168,34300-26081011406,-0.84,1.42
14169,34300-26081014703,-0.69,1.0
14170,34300-26139021500,0.06,-0.52
14171,34300-26081014804,-0.23,-0.4
14172,34300-26139021604,-0.0,-0.59
14173,34300-26139023500,0.39,-0.63
14174,34300-26081014704,-0.26,0.07
14175,34300-26139021801,-0.46,-0.41
14176,34300-26139021700,0.1,-0.59
14177,34300-26081011302,0.16,-0.3
14178,34300-26081011701,-0.15,0.42
14179,34300-26081010700,-0.08,-0.44
14180,34300-26081011500,-0.44,0.4
14181,34300-26139024500,-1.41,0.31
14182,34300-26081012202,1.6,-0.77
14183,34300-26081011200,-0.43,-0.23
14184,34300-26139024400,-0.2,-0.56
14185,34300-26081014601,0.21,-0.6
14186,34300-26081012604,0.31,-0.31
14187,34300-26081011902,0.94,-0.69
14188,34300-26081011803,2.18,-0.62
14189,34300-26081012702,0.05,-0.06
14190,34300-26081011301,-0.17,-0.32
14191,34300-26081013000,-0.64,1.24
14192,34300-26139023001,0.41,-0.72
14193,34300-26081012201,1.68,-0.68
14194,34300-26081013100,-0.33,0.73
14195,34300-26081014805,0.54,-0.59
14196,34300-26081002300,0.46,0.17
14197,34300-26081002700,-0.74,0.68
14198,34300-26139021802,-0.11,-0.62
14199,34300-26081011600,0.07,-0.2
14200,34300-26081000600,0.13,-0.09
14201,34300-26081011804,0.7,-0.64
14202,34300-26081011405,-0.25,-0.29
14203,34300-26081011101,-0.04,-0.59
14204,34300-26139023600,0.46,-0.67
14205,34300-26081013400,-0.66,-0.25
14206,34300-26081012703,-0.52,0.24
14207,34300-26081011102,0.42,-0.62
14208,34300-26081012203,1.26,-0.71
14209,34300-26081014602,0.45,-0.69
14210,34300-26081014501,0.27,-0.62
14211,34300-26139024600,0.5,-0.74
14212,34300-26081011801,0.93,-0.66
14213,01495-42017106401,0.24,-0.55
14214,01495-42095018002,1.38,-0.7
14215,01495-42095016600,-0.63,0.37
14216,01495-42077006302,0.25,-0.87
14217,01495-42077005505,0.53,-0.89
14218,01495-42077006304,1.29,-0.86
14219,01495-42077006204,1.19,-0.77
14220,01495-42095015600,-0.37,-0.48
14221,01495-42077006202,0.73,-0.71
14222,01495-42095017402,0.22,-0.46
14223,01495-42095015700,-0.5,-0.52
14224,01495-42095016500,0.13,-0.79
14225,01495-34041030800,-0.48,0.04
14226,01495-42095017704,0.72,-0.74
14227,01495-42077006308,1.07,-0.87
14228,01495-42077006303,-0.07,-0.89
14229,01495-42095015201,-0.7,-0.64
14230,01495-42077005503,0.85,-0.91
14231,01495-42095015300,0.37,-0.71
14232,01495-42025020600,-0.79,0.04
14233,01495-42095017102,0.85,-0.58
14234,01495-42077006500,-0.51,0.03
14235,01495-42095017502,0.47,-0.41
14236,01495-42095016001,0.28,-0.64
14237,01495-42095017000,0.06,-0.86
14238,01495-42095016700,0.4,-0.71
14239,01495-42095011300,-0.4,-0.35
14240,01495-42095016002,-0.45,-0.57
14241,01495-42077006702,0.04,-0.66
14242,01495-42077006307,0.65,-0.86
14243,01495-42095017603,-0.28,-0.02
14244,01495-42077005504,0.25,-0.88
14245,01495-42017106402,0.71,-0.7
14246,01495-42095016902,1.02,-0.84
14247,01495-42077006401,-0.51,0.03
14248,01495-42077005705,-0.06,0.73
14249,01495-42025020900,-0.25,-0.14
14250,01495-42095010500,-1.24,1.01
14251,01495-42095016901,1.08,-0.84
14252,01495-42095017101,0.59,-0.49
14253,01495-42095017607,0.74,-0.44
14254,01495-42077001502,-0.67,0.74
14255,01495-42077006305,0.34,-0.83
14256,01495-42095017604,0.54,-0.18
14257,01495-42077006903,1.24,-0.71
14258,01495-34041032200,0.68,-0.53
14259,01495-42095016800,-0.14,-0.27
14260,01495-42077001501,-0.85,0.89
14261,01495-42077006902,-0.14,-0.32
14262,01495-42077005100,-0.61,-0.18
14263,01495-42095016100,-0.34,-0.9
14264,01495-42095016202,0.02,0.63
14265,01495-34041030600,-0.29,0.55
14266,01495-42077005506,0.23,-0.84
14267,01495-42077006402,0.76,-0.9
14268,01495-42095015801,0.69,-0.83
14269,01495-42017103103,-0.32,0.37
14270,01495-42095017401,0.68,-0.64
14271,01495-42077006203,0.83,-0.57
14272,01495-34041032102,1.06,-0.29
14273,01495-34041032400,0.19,-0.27
14274,01495-42095014100,-0.04,0.0
14275,01495-42077006600,0.32,-0.34
14276,01495-42077005200,0.07,-0.85
14277,01495-42017106500,0.12,-0.52
14278,01495-42077006905,1.39,-0.82
14279,22690-01103000700,-1.21,0.65
14280,22690-01103005303,-0.63,0.35
14281,22690-01103005500,-0.76,-0.3
14282,22690-01103000900,-1.03,1.96
14283,22690-01103005108,-0.54,0.82
14284,22690-01103005106,-0.44,0.64
14285,22690-01103005301,-0.02,-0.56
14286,22690-01079979500,-0.78,-0.6
14287,22690-01103005109,-1.09,1.04
14288,22690-01103005103,-0.18,-0.11
14289,22690-01103005302,-0.2,-0.36
14290,22690-01103005404,0.13,-0.63
14291,22690-01103000400,-0.61,1.36
14292,22690-01103005304,-0.39,-0.45
14293,22690-01103005101,-0.4,-0.5
14294,22690-01103000200,0.29,-0.16
14295,22690-01103000800,-0.78,1.42
14296,22690-01103001000,-0.71,0.46
14297,22690-01103000300,-0.35,0.55
14298,22690-01103005105,0.18,-0.41
14299,22690-01079979100,-0.67,-0.52
14300,22690-01079979600,-0.68,-0.59
14301,22690-01103000100,-0.99,1.76
14302,22690-01103005107,0.42,-0.49
14303,22690-01103000600,-1.4,0.44
14304,75394-,-0.61,-0.32
14305,59572-13071970800,-0.89,0.35
14306,59572-13071970701,-0.79,0.13
14307,59572-13071970400,-1.1,-0.18
14308,59572-13071970300,-1.16,0.26
14309,59572-13071970600,-0.74,-0.51
14310,59572-13071970900,-0.94,-0.54
14311,59572-13071970702,-1.42,1.09
14312,09892-13143010400,-0.69,0.06
14313,09892-13143010301,-0.62,-0.42
14314,09892-13143010302,-0.51,0.14
14315,09892-13045910300,-0.75,-0.81
14316,44695-,0.82,-0.75
14317,85033-40119010900,0.25,-0.5
14318,85033-40119010700,0.26,-0.6
14319,85033-40119010400,-1.51,1.36
14320,85033-40119010200,-0.82,-0.05
14321,85033-40119010800,-1.04,0.36
14322,85033-40119010500,-1.31,1.68
14323,85033-40119010101,-0.46,-0.24
14324,85033-40119011000,0.63,-0.64
14325,85033-40119010102,-0.9,1.76
14326,85033-40119010600,-0.85,0.22
14327,85033-40119011101,-0.36,-0.6
14328,85033-40119010300,-1.25,0.42
14329,40915-20155000500,-0.59,1.26
14330,40915-20155000800,-1.19,0.41
14331,40915-20155001300,-0.82,-0.4
14332,40915-20155001200,-0.13,-0.42
14333,40915-20155000700,-1.12,2.06
14334,40915-20155001100,0.17,-0.55
14335,40915-20155000400,-0.89,0.77
14336,40915-20155001000,-1.19,0.6
14337,40915-20155000100,-0.28,-0.12
14338,40915-20155000600,-1.37,1.8
14339,40915-20155000200,-0.53,0.74
14340,40915-20155000300,-0.3,-0.08
14341,54793-,-0.93,0.62
14342,90676-22039950400,-0.95,-0.29
14343,90676-22039950600,-1.45,1.07
14344,90676-22039950500,-1.29,0.82
14345,90676-22039950800,-1.05,-0.45
14346,90676-22039950700,-0.51,-0.52
14347,95698-27067780600,0.16,-0.66
14348,95698-27067780500,-0.83,-0.36
14349,95698-27067781000,-0.75,-0.03
14350,95698-27067780700,-0.32,-0.31
14351,95698-27067780400,0.24,-0.71
14352,64189-,-0.08,-0.66
14353,62947-,0.38,-0.75
14354,59464-,-1.28,-0.63
14355,85438-,-0.83,-0.69
14356,97426-,-1.06,0.55
14357,54415-,-1.3,1.19
14358,20247-,0.3,-0.64
14359,95347-,-1.08,0.01
14360,70399-,-1.05,0.22
14361,18046-,-0.62,-0.06
14362,14590-,-0.33,-0.58
14363,39781-,-0.56,-0.37
14364,14779-26081010600,0.25,-0.7
14365,14779-26081010801,0.66,-0.67
14366,14779-26081010101,-0.13,-0.59
14367,14779-26081010200,-0.58,-0.23
14368,51823-,-0.28,-0.17
14369,81334-,-0.89,-0.01
14370,40547-27163071102,1.62,-0.76
14371,40547-27163070701,2.05,-0.53
14372,40547-55109120903,1.02,-0.41
14373,40547-27163071101,0.52,-0.56
14374,40547-55109120201,0.44,0.18
14375,40547-55109120904,1.0,-0.78
14376,40547-55109120202,1.5,-0.82
14377,40547-55109120300,0.72,-0.87
14378,40547-55109120100,0.0,1.05
14379,37324-,-1.0,-0.73
14380,18262-,-0.69,-0.45
14381,55306-39159050602,0.42,-0.64
14382,55306-39159050400,-0.41,-0.25
14383,55306-39159050303,0.44,-0.59
14384,55306-39159050500,-0.22,-0.36
14385,55306-39159050301,0.48,-0.83
14386,55306-39159050700,0.87,-0.81
14387,95320-,-0.89,-0.21
14388,50068-,-0.8,-0.06
14389,85519-,-0.59,-0.31
14390,96427-,-0.82,-0.07
14391,09487-26029001200,-0.25,-0.77
14392,09487-26029001300,-0.61,-0.64
14393,09487-26029000300,0.31,-0.78
14394,09487-26029000900,0.69,-0.77
14395,09487-26029001400,-0.37,-0.66
14396,58961-,0.0,-0.6
14397,32720-,-0.67,-0.25
14398,79795-,-0.56,-0.69
14399,96211-,-0.31,-0.67
14400,42184-,-0.3,-0.76
14401,63568-25027726100,-0.2,-0.49
14402,63568-25027725100,0.36,-0.83
14403,63568-25027724100,0.15,-0.84
14404,63568-25027760100,0.14,-0.71
14405,63568-25027759100,0.3,-0.83
14406,34624-,-0.47,-0.41
14407,09541-36009961300,-0.8,-0.79
14408,09541-42083420200,-1.36,1.14
14409,09541-42083420400,-0.56,-0.12
14410,09541-42083421000,-0.71,-0.79
14411,09541-42083420500,-0.36,-0.79
14412,09541-42083420100,-0.24,-0.8
14413,29698-,-0.47,-0.84
14414,54388-,0.01,-0.77
14415,27300-42029311500,0.5,-0.73
14416,27300-42029304900,0.03,-0.77
14417,27300-42071012602,0.16,-0.74
14418,27300-42011011703,0.34,-0.47
14419,18127-,-0.49,-0.22
14420,97642-53053072906,,-0.32
14421,97642-53067012520,0.12,-0.59
14422,97642-53053073001,0.04,-0.4
14423,97642-53053073006,0.41,-0.51
14424,97642-53067012412,-0.19,0.43
14425,97642-53067012411,-0.14,0.24
14426,76059-,-0.44,-0.54
14427,15589-44009051302,1.34,-0.79
14428,15589-44009051304,0.97,-0.82
14429,15589-44009051101,0.53,-0.75
14430,15589-44009051102,0.63,-0.72
14431,26659-48453002209,-0.28,0.23
14432,26659-48021950100,0.07,-0.48
14433,26659-48453001854,-0.24,-0.13
14434,26659-48021950200,-0.61,-0.42
14435,19774-,-0.69,-0.55
14436,76042-,-0.84,-0.66
14437,30871-22115950702,-0.95,-0.5
14438,30871-22115950900,-0.67,-0.6
14439,30871-22115950701,,-0.49
14440,30871-22115950600,-0.85,-0.03
14441,30871-22115950703,-0.99,-0.82
14442,30871-22115950704,-0.75,-0.66
14443,16156-,-0.5,-0.83
14444,32761-,-0.3,-0.69
14445,45586-,-1.07,0.45
14446,75529-,-0.85,-0.39
14447,12322-,-0.83,-0.81
14448,60004-,-0.79,-0.1
14449,65620-,-1.24,-0.33
14450,06949-,-1.1,-0.16
14451,66808-,-0.61,1.48
14452,42697-18037953200,0.22,-0.7
14453,42697-18037953500,-0.05,-0.73
14454,42697-18037953300,-0.57,-0.38
14455,42697-18037953400,-0.22,-0.55
14456,82198-,-0.31,-0.83
14457,40591-,-0.82,-0.84
14458,48367-,-1.03,-0.76
14459,23662-22115950900,-0.67,-0.6
14460,23662-22011960300,-0.65,-0.05
14461,23662-22011960200,-0.36,-0.62
14462,23662-22011960400,-0.75,-0.33
14463,23662-22011960500,-0.39,-0.19
14464,84115-,1.72,-0.68
14465,53443-37035011601,-0.87,-0.42
14466,53443-37035011702,-0.13,-0.43
14467,53443-37109070800,-0.74,-0.27
14468,53443-37035011602,-0.73,-0.03
14469,73300-,-0.6,0.03
14470,54712-51173030600,-1.14,-0.07
14471,54712-51173030301,-0.85,-0.53
14472,54712-51173030100,-0.91,-0.73
14473,54712-51173030302,-0.83,-0.06
14474,54712-51173030500,-0.83,-0.56
14475,54712-51173030400,-0.93,-0.74
14476,54712-51173030701,-0.67,-0.68
14477,80119-,-0.7,0.36
14478,67348-,-0.99,-0.62
14479,23419-,-0.53,-0.71
14480,67321-,-0.46,-0.51
14481,96373-,-0.23,0.1
14482,40024-,-1.1,0.34
14483,82981-,-1.16,-0.41
14484,44182-31019969400,-0.65,1.29
14485,44182-31019969600,-0.92,1.2
14486,44182-31019969100,-0.28,-0.75
14487,44182-31019969700,-0.28,-0.27
14488,44182-31019969203,0.28,-0.42
14489,44182-31019969202,0.31,-0.18
14490,44182-31019969300,-0.97,0.22
14491,44182-31019969204,0.57,-0.49
14492,63649-42021011800,-0.63,-0.84
14493,63649-42033331900,-0.88,-0.72
14494,63649-42021012000,-0.59,-0.88
14495,63649-42021011900,-0.81,-0.51
14496,63649-42063960300,-0.73,-0.93
14497,63649-42021012400,-0.47,-0.76
14498,66241-36075021000,-0.46,-0.7
14499,66241-36075021200,-0.57,-0.68
14500,66241-36075021102,-1.15,1.7
14501,66241-36075021103,-0.55,0.24
14502,66241-36075021402,-0.08,-0.68
14503,66241-36075021104,-0.7,1.01
14504,66241-36075021602,-1.07,1.19
14505,66241-36075021502,-0.21,-0.71
14506,66241-36075021401,-0.31,-0.66
14507,66241-36075021604,-0.75,1.19
14508,66241-36075021603,0.2,0.53
14509,66241-36075021605,-0.87,0.81
14510,66241-36075021101,-0.85,1.63
14511,56440-,0.06,-0.83
14512,11917-,-0.85,-0.8
14513,52660-,0.1,-0.3
14514,37216-,-0.78,-0.56
14515,66619-,-1.35,1.2
14516,15319-39055312202,0.47,-0.86
14517,15319-39055310900,0.13,-0.85
14518,15319-39055312203,0.08,-0.85
14519,15319-39055312201,0.18,-0.36
14520,15319-39055310800,1.01,-0.86
14521,30250-,-1.17,0.74
14522,67456-,-0.89,-0.16
14523,76123-29161891000,0.16,-0.63
14524,76123-29161890500,-0.51,-0.68
14525,76123-29161890900,-0.18,0.86
14526,76123-29161890300,-0.75,0.9
14527,76123-29161890800,-1.1,0.32
14528,76123-29161890400,-1.29,0.36
14529,76123-29161890700,-0.53,-0.56
14530,38903-29099701000,-0.4,-0.41
14531,38903-29099700604,0.06,-0.53
14532,38903-29099701101,-0.07,-0.52
14533,38903-29099700502,-0.11,-0.51
14534,06490-,-0.6,-0.5
