,zoneid,wealth index,crime index
314,88732-04019004069,-0.78,2.18
315,88732-04019004644,-0.19,-0.25
316,88732-04019004713,1.46,-0.49
317,88732-04019004624,-0.11,0.75
318,88732-04019003902,-0.95,1.23
319,88732-04019004411,0.26,0.26
320,88732-04019004711,1.88,-0.51
321,88732-04019004063,0.3,-0.42
322,88732-04019004051,1.69,-0.66
323,88732-04019004631,-0.01,0.18
324,88732-04019004407,-1.05,1.35
325,88732-04019004312,-0.46,0.75
326,88732-04019004050,0.85,-0.41
327,88732-04019004053,0.5,-0.4
328,88732-04019004125,-0.12,-0.33
329,88732-04019004074,0.12,-0.4
330,88732-04019004427,0.36,0.25
331,88732-04019004412,-0.07,-0.22
332,88732-04019004621,0.04,0.13
333,88732-04019004320,-1.03,0.91
334,88732-04019004321,-0.73,1.32
335,88732-04019004334,-0.38,-0.14
336,88732-04019002503,-1.17,1.99
337,88732-04019004073,0.01,-0.31
338,88732-04019004025,1.06,-0.07
339,88732-04019004057,-0.07,0.95
340,88732-04019004311,-0.26,0.08
341,88732-04019004122,-1.01,1.7
342,88732-04019004643,0.39,-0.6
343,88732-04019004633,0.15,-0.44
344,88732-04019004026,0.58,-0.24
345,88732-04019004719,1.71,-0.6
346,88732-04019004619,0.65,-0.34
347,88732-04019004043,0.32,0.67
348,88732-04019004623,0.15,0.25
349,88732-04019004035,-0.58,1.4
350,88732-04019004418,0.75,-0.45
351,88732-04019004118,-0.59,-0.01
352,88732-04019004642,1.27,-0.48
353,88732-04019004112,-0.89,1.45
354,88732-04019003600,-0.79,-0.42
355,88732-04019004322,-0.57,0.75
356,88732-04019004714,2.3,-0.44
357,88732-04019004121,-0.42,-0.16
358,88732-04019004640,1.01,-0.56
359,88732-04019004720,1.4,-0.39
360,88732-04019004047,0.23,-0.04
361,88732-04019004429,0.67,-0.06
362,88732-04019004055,0.37,-0.33
363,88732-04019941000,-1.07,0.91
364,88732-04019004413,0.32,0.23
365,88732-04019004722,1.51,-0.48
366,88732-04019004421,-0.5,-0.18
367,88732-04021000603,0.73,-0.74
368,88732-04019004415,-0.21,0.2
369,88732-04019004715,-0.5,-0.05
370,22366-19163012602,-0.53,0.46
371,22366-19163012702,-0.16,0.72
372,22366-19163012801,-0.71,0.41
373,22366-17161024000,-0.11,-0.44
374,22366-19163012000,-0.21,1.16
375,22366-19163012502,-0.47,0.41
376,22366-17073030100,-0.34,-0.55
377,22366-19163012400,-0.24,0.12
378,22366-19163011000,-1.05,1.82
379,22366-17161020400,-0.33,-0.55
380,22366-17161024300,-0.54,-0.42
381,22366-19163010102,1.43,-0.77
382,22366-19163012601,-0.53,0.46
383,22366-19163012100,-0.58,1.64
384,22366-17161023700,-1.02,0.72
385,22366-17161020200,-0.61,-0.47
386,22366-19163012501,-0.83,0.34
387,22366-19163011100,-0.62,1.92
388,22366-17161022600,-1.24,0.93
389,22366-17161021100,0.23,-0.38
390,22366-17161020300,-0.62,-0.05
391,22366-19163012902,0.39,-0.06
392,22366-17161024200,-0.55,-0.42
393,22366-19163012901,0.22,-0.03
394,22366-19163013702,0.9,-0.6
395,22366-19163012701,-0.15,1.23
396,22366-19163013706,1.29,-0.63
397,93322-42055012000,-0.42,-0.71
398,93322-42055012100,-0.24,-0.37
399,93322-42055012300,-0.83,0.26
400,93322-24043010200,0.36,-0.61
401,93322-24043010100,-0.21,-0.61
402,93322-42055012400,-0.72,-0.27
403,93322-42055012501,0.0,-0.54
404,93322-42055012502,-0.25,-0.5
405,93322-42055012200,-0.65,0.23
406,93322-24021752900,0.54,-0.64
407,02548-18151971600,-0.39,-0.43
408,02548-18151971000,-0.37,-0.6
409,02548-18151971100,0.45,-0.66
410,02548-18151971400,-0.59,-0.27
411,02548-18151971200,-0.31,-0.7
412,02548-18151970900,-0.14,-0.71
413,02548-18151971300,-0.74,0.18
414,10891-34029717300,1.14,-0.8
415,10891-34029717400,0.68,-0.81
416,10891-34005702400,1.19,-0.78
417,10891-34025811900,1.94,-0.82
418,10891-34005704302,1.85,-0.91
419,10891-34005702207,-0.77,-0.11
420,10891-34005982111,-0.4,-0.93
421,10891-34005702209,-0.11,-0.24
422,10891-34005704802,-0.36,-0.87
423,10891-34005704500,0.06,-0.83
424,10891-34005704801,-0.21,-0.8
425,10891-34005702208,0.09,-0.54
426,10891-34005702206,-0.3,-0.51
427,10891-34005702210,-0.22,0.31
428,10891-34029718000,0.75,-0.83
429,15508-45015020504,-0.82,0.51
430,15508-45019004702,0.46,-0.19
431,15508-45015020722,0.34,-0.0
432,15508-45019004901,2.72,0.0
433,15508-45035010820,0.43,0.22
434,15508-45019005200,0.3,0.79
435,15508-45035010606,0.62,0.32
436,15508-45019003106,-0.72,0.07
437,15508-45019002614,-0.11,0.54
438,15508-45019001901,0.66,-0.24
439,15508-45019003400,-1.0,2.38
440,15508-45015020720,0.48,-0.25
441,15508-45015020807,0.09,-0.16
442,15508-45015020505,-0.28,-0.11
443,15508-45015020717,-0.66,0.87
444,15508-45019002801,0.4,-0.04
445,15508-45035010604,-0.26,0.02
446,15508-45035010808,-0.07,0.52
447,15508-45035010819,0.48,0.15
448,15508-45019002802,0.49,-0.15
449,15508-45019002006,0.53,-0.22
450,15508-45015020719,-0.44,0.65
451,15508-45019003110,-0.89,3.73
452,15508-45019004611,1.28,-0.31
453,15508-45015020714,0.05,0.08
454,15508-45019005500,-0.96,2.86
455,15508-45019002613,-0.22,0.71
456,15508-45019002007,1.71,-0.54
457,15508-45015020718,-0.76,0.01
458,15508-45015020809,-0.62,0.18
459,15508-45019002002,0.15,-0.08
460,15508-45035010605,-0.55,0.74
461,15508-45035010505,0.31,-0.01
462,15508-45015021000,-0.7,0.04
463,15508-45019004612,0.62,-0.0
464,15508-45035010807,0.18,0.12
465,15508-45015020715,-0.59,0.83
466,15508-45019004613,2.79,-0.67
467,15508-45019003109,-0.54,1.52
468,15508-45019001902,0.34,-0.02
469,15508-45019002004,1.08,0.34
470,15508-45015020812,0.53,-0.49
471,15508-45019004606,2.5,-0.26
472,15508-45015020506,-0.55,0.54
473,15508-45035010504,-0.29,-0.16
474,15508-45015020721,0.77,-0.16
475,15508-45019005600,0.47,-0.17
476,15508-45019002003,0.09,-0.19
477,15508-45019005400,-0.66,1.51
478,15508-45019004607,1.33,-0.13
479,15508-45019004701,1.9,0.11
480,15508-45019002005,1.05,-0.44
481,15508-45019002701,-0.74,0.72
482,15508-45015020806,-0.65,0.71
483,15508-45035010603,-0.2,-0.03
484,15508-45019004800,5.75,-0.36
485,15508-45019004902,2.98,-0.28
486,15508-45015020712,-0.78,-0.19
487,15508-45015020723,-0.64,0.65
488,15508-45035010700,-0.62,1.22
489,15508-45015020716,0.02,0.11
490,15508-45015020808,-0.57,0.17
491,15508-45019002702,-0.92,1.24
492,15508-45019004608,1.53,-0.58
493,13375-39151711311,0.73,-0.18
494,13375-39151711121,0.34,-0.67
495,13375-39151712601,-0.71,-0.6
496,13375-39151711321,0.24,0.22
497,13375-39151714200,-1.37,1.15
498,13375-39151701800,-1.48,1.51
499,13375-39151712111,0.2,-0.58
500,13375-39151702100,-1.22,4.11
501,13375-39151714600,-0.58,-0.6
502,13375-39151711122,0.36,-0.65
503,13375-39151711412,-0.65,-0.15
504,13375-39151713100,-0.66,-0.55
505,13375-39151713201,-0.48,-0.55
506,13375-39151712202,0.02,-0.49
507,13375-39151714400,-0.34,-0.39
508,13375-39151712400,-0.55,-0.3
509,13375-39151711312,1.18,-0.31
510,13375-39151711212,-0.13,-0.71
511,13375-39151711211,-0.16,-0.66
512,13375-39151702300,-1.66,2.03
513,13375-39151712112,0.49,-0.74
514,13375-39151712300,-0.52,-0.35
515,13375-39151712602,-0.41,-0.64
516,13375-39151713300,-0.34,-0.48
517,13375-39151712500,-0.71,-0.6
518,13375-39151711411,0.55,-0.29
519,13375-39151714000,-0.73,-0.16
520,13375-39151713900,-0.99,0.08
521,13375-39151714701,-0.4,-0.66
522,13375-39151713202,-0.38,-0.65
523,13375-39151712102,0.12,-0.49
524,13375-39151714100,-0.95,0.82
525,97291-25027740102,1.8,-0.7
526,97291-25027761200,0.99,-0.43
527,97291-25027749200,0.29,-0.59
528,97291-25027716200,-0.25,-0.82
529,97291-25027730700,0.2,0.05
530,97291-25027736200,0.67,-0.17
531,97291-25027738100,0.8,-0.83
532,97291-25027729200,0.47,-0.65
533,97291-09015907200,-0.27,-0.86
534,97291-25027754100,0.57,-0.59
535,97291-09015905100,0.14,-0.72
536,97291-25027730200,0.37,0.32
537,97291-25027735100,0.34,-0.3
538,97291-25027740101,1.9,-0.75
539,97291-25027754400,-0.13,0.09
540,97291-25027753100,-0.06,-0.4
541,97291-09015904400,-0.28,-0.58
542,97291-09015903100,-0.22,-0.49
543,97291-25027730100,0.11,0.16
544,97291-25027716100,0.35,-0.88
545,97291-25027731001,0.12,-0.17
546,97291-25027727100,1.15,-0.86
547,97291-25027736100,0.52,-0.33
548,97291-25027732002,0.03,0.46
549,97291-25027728300,0.66,-0.78
550,97291-25027742300,1.1,-0.14
551,97291-09015904500,-0.28,-0.37
552,97291-25027755200,0.32,-0.8
553,97291-25027728400,0.98,-0.87
554,97291-25027740200,1.74,-0.64
555,97291-25027750300,0.23,-0.53
556,97291-25027739500,1.49,-0.84
557,97291-25027729100,0.35,-0.75
558,97291-25027726200,-0.2,-0.49
559,97291-25027754200,-0.57,0.29
560,97291-25027742402,1.59,-0.7
561,97291-25027742401,3.15,-0.75
