,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
13638,88948-40145030508,6.95,"$35,057",1%,"RD059, RD037, RD155, RD083, RD005",91.8%,"$20,689","$11,561","-$1,445"
13639,88948-40143005805,37.97,"$28,538",1%,"RD155, RD025, RD038, RD188, RD047",94.5%,"$17,670","$9,466","-$1,265"
13640,88948-40143001500,287.41,"$20,050",1%,"RD068, RD052, RD172, RD156, RD067",90.4%,"$17,367","$9,219","-$1,539"
13641,88948-40143007522,52.7,"$29,084",1%,"RD038, RD069, RD070, RD067, RD188",92.7%,"$20,984","$11,926","-$1,181"
13642,88948-40143007306,398.5,"$15,178",1%,"RD051, RD052, RD108, RD068, RD069",89.9%,"$18,118","$10,142","-$1,396"
13643,88948-40143009003,13.09,"$36,956",1%,"RD180, RD193, RD155, RD079, RD188",94.9%,"$24,876","$14,492","-$1,071"
13644,88948-40143001200,134.61,"$14,558",1%,"RD090, RD134, RD051, RD152, RD172",89.2%,"$20,291","$10,214","-$1,810"
13645,88948-40143000100,90.22,"$16,385",1%,"RD161, RD157, RD156, RD098, RD082",91.5%,"$16,595","$7,801","-$1,763"
13646,88948-40037020103,2.74,"$38,085",1%,"RD174, RD186, RD045, RD024, RD063",94.5%,"$18,066","$9,544",-$656
13647,88948-40143008900,266.63,"$18,538",1%,"RD033, RD034, RD052, RD088, RD156",90.8%,"$14,805","$7,181","-$1,990"
13648,88948-40143007312,268.24,"$20,218",1%,"RD052, RD047, RD034, RD033, RD172",90.4%,"$18,506","$10,182","-$1,719"
13649,88948-40143007310,194.04,"$19,362",1%,"RD068, RD047, RD067, RD069, RD070",92.7%,"$20,123","$11,370","-$1,480"
13650,88948-40113940006,125.67,"$21,280",1%,"RD172, RD069, RD070, RD067, RD068",94.1%,"$21,836","$12,716","-$1,488"
13651,88948-40143007511,14.72,"$32,532",1%,"RD113, RD001, RD058, RD111, RD174",93.6%,"$18,533","$10,099",-$912
13652,88948-40143009101,27.43,"$15,477",1%,"RD157, RD130, RD139, RD136, RD172",92.5%,"$18,486","$9,144","-$1,797"
13653,88948-40143003000,130.29,"$17,433",1%,"RD156, RD172, RD157, RD068, RD070",91.5%,"$17,890","$9,521","-$1,372"
13654,88948-40143007624,20.55,"$31,435",1%,"RD188, RD133, RD045, RD024, RD079",95.1%,"$21,638","$12,903","-$1,001"
13655,88948-40145030602,7.68,"$23,356",1%,"RD113, RD029, RD017, RD101, RD187",93.9%,"$17,933","$10,423","-$1,209"
13656,88948-40143005801,72.74,"$24,370",1%,"RD025, RD064, RD155, RD075, RD101",93.6%,"$21,353","$11,502","-$1,587"
13657,88948-40143007701,19.08,"$30,000",1%,"RD188, RD113, RD127, RD084, RD133",95.3%,"$18,048","$9,919","-$1,194"
13658,88948-40145030510,1.67,"$36,441",1%,"RD002, RD005, RD092, RD129, RD083",93.4%,"$18,288","$9,604","-$1,278"
13659,88948-40143008001,164.93,"$8,466",1%,"RD157, RD143, RD171, RD192, RD125",88.9%,"$21,345","$10,084","-$2,198"
13660,88948-40143004800,135.89,"$23,512",1%,"RD068, RD069, RD070, RD067, RD047",92.6%,"$20,483","$11,350","-$1,618"
13661,88948-40143007508,18.28,"$42,751",1%,"RD083, RD062, RD053, RD092, RD058",94.1%,"$18,067","$9,526",-$832
13662,88948-40143001600,358.9,"$14,190",1%,"RD052, RD156, RD051, RD088, RD108",88.6%,"$14,129","$6,887","-$1,819"
13663,88948-40037021400,10.44,"$28,625",1%,"RD155, RD113, RD188, RD024, RD045",95.2%,"$18,070","$10,183",-$949
13664,88948-40143006200,189.06,"$16,555",1%,"RD136, RD157, RD125, RD192, RD051",87.0%,"$17,258","$8,917","-$1,634"
13665,88948-40143009200,30.15,"$26,303",1%,"RD188, RD155, RD189, RD113, RD104",93.1%,"$19,451","$11,012","-$1,358"
13666,88948-40143000300,134.87,"$12,080",1%,"RD070, RD067, RD069, RD157, RD172",90.9%,"$15,888","$7,923","-$1,552"
13667,88948-40143007512,82.83,"$28,285",1%,"RD113, RD097, RD058, RD047, RD026",92.9%,"$20,474","$10,978","-$1,200"
13668,88948-40143009300,25.53,"$25,933",1%,"RD101, RD123, RD109, RD075, RD172",92.7%,"$19,884","$11,168","-$1,656"
13669,88948-40143007638,18.32,"$72,471",1%,"RD135, RD126, RD012, RD020, RD086",83.4%,"$17,781","$9,743","-$1,039"
13670,88948-40143005700,129.85,"$15,023",1%,"RD157, RD156, RD172, RD082, RD154",92.5%,"$15,907","$7,452","-$1,476"
13671,88948-40143006600,3.28,"$34,602",1%,"RD127, RD076, RD092, RD187, RD101",92.4%,"$16,860","$9,506",-$943
13672,88948-40143002900,21.87,"$23,109",1%,"RD131, RD077, RD106, RD104, RD017",93.8%,"$16,476","$8,763","-$1,379"
13673,88948-40143007635,43.1,"$48,913",1%,"RD053, RD035, RD063, RD083, RD058",92.4%,"$16,634","$8,853",-$736
13674,88948-40143007609,462.78,"$26,115",1%,"RD052, RD156, RD108, RD034, RD033",87.5%,"$16,830","$9,453","-$1,691"
13675,88948-40143007900,183.03,"$17,095",1%,"RD136, RD157, RD139, RD156, RD108",88.5%,"$17,643","$8,953","-$1,850"
13676,88948-40143007304,364.79,"$16,847",1%,"RD051, RD052, RD108, RD068, RD157",88.9%,"$13,479","$6,726","-$1,566"
13677,88948-40143007612,92.15,"$32,034",1%,"RD107, RD122, RD018, RD055, RD151",78.4%,"$21,887","$11,775","-$1,206"
13678,88948-40143007523,50.21,"$37,625",1%,"RD092, RD059, RD127, RD001, RD083",94.1%,"$15,673","$8,460","-$1,194"
13679,88948-40131050407,4.02,"$29,388",1%,"RD113, RD104, RD106, RD188, RD110",93.7%,"$15,521","$8,769",-$878
13680,88948-40145030405,16.66,"$30,769",1%,"RD011, RD059, RD155, RD135, RD126",91.3%,"$17,229","$9,139","-$1,247"
13681,88948-40143005807,15.95,"$32,324",1%,"RD113, RD155, RD188, RD045, RD024",95.6%,"$21,555","$11,595","-$1,210"
13682,88948-40143002500,218.87,"$35,791",1%,"RD072, RD052, RD172, RD192, RD125",87.6%,"$15,354","$8,449","-$1,000"
13683,88948-40143007634,57.35,"$60,469",1%,"RD142, RD050, RD054, RD178, RD182",90.1%,"$21,489","$11,655",-$954
13684,88948-40143009007,88.31,"$20,870",1%,"RD106, RD104, RD131, RD159, RD141",91.6%,"$17,216","$9,115","-$1,505"
13685,88948-40143000200,41.75,"$18,406",1%,"RD082, RD104, RD106, RD085, RD179",91.2%,"$15,827","$7,807","-$1,610"
13686,88948-40143006703,42.56,"$24,381",1%,"RD188, RD017, RD183, RD182, RD155",92.5%,"$23,982","$14,099","-$1,367"
13687,88948-40145030511,0.67,"$37,013",1%,"RD174, RD148, RD083, RD186, RD133",95.1%,"$21,134","$11,039",-$773
13688,88948-40145030505,2.62,"$28,645",1%,"RD057, RD113, RD186, RD058, RD174",94.1%,"$19,239","$10,872",-$870
13689,88948-40143009401,13.47,"$29,524",1%,"RD059, RD155, RD127, RD101, RD002",95.4%,"$14,907","$7,170","-$1,230"
13690,88948-40131050406,0.63,"$50,722",1%,"RD008, RD083, RD135, RD126, RD013",92.4%,"$19,424","$10,999","-$1,159"
13691,88948-40131050408,9.89,"$34,125",1%,"RD155, RD017, RD127, RD082, RD188",92.7%,"$19,212","$10,292","-$1,476"
13692,88948-40037020602,22.93,"$21,327",1%,"RD101, RD085, RD077, RD127, RD131",94.0%,"$16,638","$9,223","-$1,274"
13693,88948-40145030512,0.89,"$31,032",1%,"RD137, RD083, RD113, RD063, RD005",93.7%,"$19,877","$10,856","-$1,026"
13694,88948-40037021600,7.17,"$32,871",1%,"RD101, RD155, RD113, RD074, RD029",94.2%,"$19,296","$10,751","-$1,012"
13695,88948-40143004700,34.28,"$21,895",1%,"RD172, RD069, RD067, RD070, RD047",92.9%,"$22,604","$13,050","-$1,603"
13696,88948-40143009402,15.6,"$30,604",1%,"RD113, RD155, RD188, RD059, RD110",93.5%,"$17,738","$9,788","-$1,046"
13697,88948-40143006705,22.12,"$37,607",1%,"RD178, RD063, RD057, RD045, RD024",91.3%,"$18,517","$10,205",-$778
13698,88948-40143006708,2.84,"$51,419",1%,"RD053, RD004, RD003, RD083, RD135",92.3%,"$19,519","$11,384","-$1,073"
13699,88948-40143007506,10.46,"$32,959",1%,"RD155, RD113, RD045, RD024, RD174",94.3%,"$21,184","$11,604","-$1,055"
13700,88948-40037020101,4.05,"$38,574",1%,"RD188, RD113, RD104, RD106, RD155",94.3%,"$16,669","$9,365",-$851
13701,88948-40143011100,2.25,"$19,248",1%,"RD129, RD085, RD152, RD082, RD101",91.1%,"$18,088","$8,860","-$1,593"
13702,63622-,59.1,"$26,493",-1%,"RD150, RD025, RD017, RD047, RD093",94.1%,"$21,514","$12,249","-$1,338"
13703,37081-42041012400,20.44,"$38,023",1%,"RD015, RD016, RD155, RD182, RD183",90.4%,"$24,834","$14,308","-$1,142"
13704,37081-42041010201,5.06,"$41,798",1%,"RD058, RD113, RD174, RD053, RD175",94.8%,"$17,323","$9,657",-$699
13705,37081-42043022605,45.4,"$37,653",1%,"RD043, RD001, RD113, RD017, RD155",93.9%,"$19,437","$10,692",-$901
13706,37081-42041012000,35.26,"$28,698",1%,"RD150, RD047, RD031, RD113, RD017",94.0%,"$21,659","$11,979","-$1,284"
13707,37081-42075003901,54.91,"$26,272",0%,"RD150, RD007, RD025, RD093, RD155",92.3%,"$21,636","$12,087","-$1,112"
13708,37081-42043024200,22.84,"$38,388",1%,"RD113, RD058, RD186, RD169, RD175",92.8%,"$23,288","$13,208",-$796
13709,37081-42043023900,31.74,"$33,332",1%,"RD001, RD127, RD091, RD047, RD077",94.0%,"$18,532","$10,247","-$1,086"
13710,37081-42041011305,7.81,"$46,414",1%,"RD053, RD062, RD169, RD092, RD020",94.0%,"$19,785","$10,701",-$880
13711,37081-42133020100,4.48,"$40,925",0%,"RD174, RD113, RD058, RD186, RD175",94.7%,"$17,222","$9,339",-$689
13712,37081-42041011101,7.43,"$49,626",1%,"RD053, RD086, RD020, RD012, RD063",93.1%,"$21,635","$11,637","-$1,060"
13713,37081-42133020921,14.52,"$31,299",0%,"RD058, RD174, RD113, RD026, RD062",94.0%,"$19,649","$10,850",-$763
13714,37081-42133020922,2.15,"$32,841",0%,"RD148, RD133, RD174, RD020, RD188",94.7%,"$22,754","$13,203","-$1,043"
13715,37081-42041010100,23.43,"$24,625",1%,"RD150, RD182, RD183, RD077, RD025",92.4%,"$24,885","$14,807","-$1,344"
13716,37081-42043023602,5.32,"$31,958",1%,"RD168, RD113, RD127, RD190, RD027",92.1%,"$17,746","$9,763","-$1,067"
13717,37081-42043022702,109.91,"$30,011",1%,"RD047, RD113, RD001, RD097, RD043",93.0%,"$21,671","$11,638","-$1,546"
13718,37081-42043022502,22.79,"$38,228",1%,"RD058, RD113, RD001, RD091, RD149",95.0%,"$18,394","$9,919",-$720
13719,37081-42133020420,1.87,"$36,722",0%,"RD174, RD058, RD063, RD062, RD178",95.2%,"$19,591","$10,470",-$819
13720,37081-42041011500,49.65,"$33,269",1%,"RD155, RD091, RD059, RD058, RD113",92.4%,"$18,572","$9,586",-$994
13721,37081-42043021901,15.82,"$39,903",1%,"RD155, RD113, RD045, RD024, RD178",93.8%,"$25,350","$14,403","-$1,182"
13722,37081-42041011902,6.5,"$31,886",1%,"RD113, RD178, RD058, RD169, RD071",92.9%,"$19,086","$11,022",-$879
13723,37081-42041011601,4.91,"$41,309",1%,"RD169, RD155, RD062, RD113, RD091",92.6%,"$22,031","$12,324",-$846
13724,37081-42041011400,85.09,"$30,394",1%,"RD093, RD025, RD150, RD155, RD038",94.0%,"$21,946","$11,512","-$1,361"
13725,37081-42041011302,12.32,"$51,126",1%,"RD014, RD086, RD053, RD169, RD058",91.9%,"$18,791","$10,853",-$838
13726,37081-42043024600,5.17,"$40,545",1%,"RD186, RD057, RD063, RD058, RD071",93.1%,"$19,112","$10,567",-$809
13727,37081-42041012501,3.7,"$36,628",1%,"RD186, RD174, RD148, RD045, RD024",94.2%,"$21,833","$12,298",-$792
13728,37081-42133020221,7.0,"$39,142",0%,"RD063, RD058, RD186, RD020, RD057",93.9%,"$18,345","$9,785",-$877
13729,37081-42043024105,13.55,"$66,479",1%,"RD169, RD053, RD086, RD174, RD058",92.5%,"$19,519","$10,733",-$750
13730,37081-42041011301,4.34,"$57,239",1%,"RD063, RD057, RD053, RD178, RD186",90.7%,"$28,485","$17,223",-$973
13731,37081-42043022604,13.61,"$45,849",1%,"RD063, RD020, RD178, RD005, RD053",93.6%,"$21,872","$12,227","-$1,054"
13732,37081-42043022501,8.03,"$53,284",1%,"RD053, RD062, RD063, RD058, RD174",93.6%,"$19,519","$10,733",-$750
13733,37081-42043024300,59.37,"$46,246",1%,"RD058, RD043, RD169, RD150, RD026",89.4%,"$20,658","$11,104",-$844
13734,37081-42075003902,45.97,"$27,470",0%,"RD150, RD047, RD025, RD026, RD093",94.2%,"$21,892","$12,419","-$1,365"
13735,37081-42043023601,6.51,"$37,482",1%,"RD148, RD186, RD020, RD063, RD113",91.6%,"$22,962","$13,192",-$927
13736,37081-42075003800,10.86,"$39,897",0%,"RD058, RD063, RD186, RD178, RD057",95.5%,"$18,802","$10,287",-$921
13737,37081-42043022401,14.67,"$42,525",1%,"RD005, RD063, RD020, RD113, RD037",92.5%,"$20,833","$11,818","-$1,136"
13738,37081-42133020910,0.47,"$30,451",0%,"RD113, RD002, RD064, RD058, RD149",94.5%,"$16,911","$8,981",-$956
13739,37081-42043024503,7.45,"$44,254",1%,"RD174, RD186, RD169, RD058, RD045",94.9%,"$19,308","$10,132",-$743
13740,37081-42043024104,14.68,"$54,832",1%,"RD014, RD020, RD005, RD053, RD063",91.7%,"$21,739","$12,902","-$1,104"
13741,37081-42041011605,2.02,"$40,282",1%,"RD113, RD169, RD168, RD174, RD058",91.4%,"$18,230","$9,984",-$741
13742,37081-42043023400,30.24,"$21,184",1%,"RD025, RD155, RD179, RD064, RD173",93.8%,"$16,173","$8,449","-$1,260"
13743,37081-42043024102,12.52,"$49,523",1%,"RD062, RD086, RD169, RD046, RD148",81.1%,"$20,986","$11,198",-$797
13744,37081-42133020220,4.48,"$40,925",0%,"RD174, RD058, RD053, RD063, RD020",94.9%,"$20,681","$11,104",-$939
13745,37081-42043021904,20.46,"$42,408",1%,"RD091, RD015, RD016, RD155, RD169",91.8%,"$22,105","$12,381","-$1,095"
13746,37081-42041012502,3.25,"$40,371",1%,"RD058, RD063, RD089, RD145, RD186",92.5%,"$19,650","$11,322","-$1,049"
13747,37081-42041011802,1.51,"$43,191",1%,"RD178, RD020, RD063, RD174, RD024",94.1%,"$18,825","$10,406",-$847
13748,37081-42041011602,1.7,"$61,968",1%,"RD053, RD086, RD063, RD020, RD058",90.4%,"$20,473","$10,904",-$953
13749,37081-42041011102,27.8,"$33,314",1%,"RD038, RD185, RD155, RD017, RD078",93.0%,"$24,338","$13,901","-$1,243"
13750,37081-42041011801,1.51,"$43,191",1%,"RD178, RD020, RD063, RD174, RD024",94.1%,"$18,825","$10,406",-$847
13751,29980-,2.27,"$9,858",4%,"RD031, RD077, RD030, RD028, RD093",85.9%,"$25,783","$14,924","-$2,024"
13752,98209-,0.49,"$38,545",1%,"RD111, RD174, RD019, RD058, RD062",91.0%,"$23,710","$13,533","-$1,300"
13753,26912-,0.16,"$47,655",1%,"RD063, RD053, RD062, RD020, RD137",92.9%,"$17,125","$8,908",-$948
13754,07084-,1.06,"$38,116",-1%,"RD137, RD020, RD004, RD003, RD005",93.9%,"$20,835","$11,931","-$1,248"
13755,41563-,16.47,"$22,259",-0%,"RD188, RD130, RD155, RD084, RD154",91.8%,"$19,984","$11,597",-$952
13756,97812-,1.7,"$23,132",2%,"RD019, RD029, RD184, RD133, RD167",91.4%,"$33,626","$21,400","-$1,159"
13757,17371-,0.48,"$25,174",1%,"RD187, RD049, RD101, RD104, RD106",93.6%,"$17,471","$9,282","-$1,222"
13758,82792-,0.18,"$23,168",-1%,"RD132, RD106, RD104, RD187, RD113",93.7%,"$15,312","$8,477","-$1,016"
13759,70345-,2.31,"$24,736",0%,"RD098, RD085, RD077, RD103, RD101",91.0%,"$18,813","$9,735","-$1,739"
13760,77986-,2.68,"$19,472",0%,"RD187, RD189, RD132, RD106, RD104",93.5%,"$16,104","$8,157","-$1,451"
13761,64351-,3.13,"$30,853",-0%,"RD134, RD087, RD022, RD090, RD032",0.0%,"$19,379","$10,076","-$1,318"
13762,71290-,0.7,"$32,069",-0%,"RD174, RD186, RD049, RD168, RD187",93.7%,"$25,668","$14,783","-$1,257"
13763,75732-27171100900,0.91,"$35,676",1%,"RD063, RD058, RD057, RD178, RD010",93.7%,"$20,205","$11,750","-$1,003"
13764,75732-27053027001,1.16,"$50,993",1%,"RD063, RD020, RD149, RD086, RD013",93.6%,"$20,401","$11,091",-$830
13765,75732-27171101000,1.28,"$39,641",1%,"RD063, RD057, RD058, RD178, RD071",93.6%,"$19,239","$10,771",-$788
13766,40942-,6.18,"$37,652",0%,"RD036, RD017, RD091, RD113, RD127",93.8%,"$17,134","$9,537",-$888
13767,06692-,0.89,"$24,694",0%,"RD064, RD077, RD025, RD017, RD188",93.3%,"$18,602","$10,061","-$1,142"
13768,95212-,0.19,"$24,288",-0%,"RD129, RD179, RD064, RD106, RD104",92.5%,"$16,542","$8,515","-$1,411"
13769,90271-,6.6,"$28,274",1%,"RD148, RD074, RD174, RD049, RD029",93.2%,"$24,696","$14,200",-$993
13770,10426-,0.23,"$28,223",-1%,"RD198, RD096, RD118, RD039, RD040",61.5%,"$24,708","$14,499","-$1,215"
13771,58303-13297110400,10.22,"$17,290",2%,"RD144, RD131, RD085, RD017, RD030",92.0%,"$17,275","$9,493","-$1,533"
13772,58303-13297110100,1.53,"$34,254",2%,"RD048, RD019, RD174, RD029, RD045",93.4%,"$26,208","$15,356","-$1,379"
13773,58303-13297110503,2.92,"$30,514",2%,"RD048, RD019, RD147, RD170, RD004",89.6%,"$24,100","$14,366","-$1,751"
13774,58303-13297110300,10.76,"$17,968",2%,"RD131, RD031, RD030, RD182, RD183",92.9%,"$22,627","$12,957","-$1,716"
13775,58303-13297110200,0.02,"$29,199",2%,"RD029, RD148, RD049, RD115, RD167",94.1%,"$29,110","$17,431","-$1,280"
13776,58303-13297110700,4.75,"$23,184",2%,"RD030, RD188, RD029, RD031, RD017",93.5%,"$23,514","$13,707","-$1,630"
13777,59329-17063000103,0.81,"$37,122",-1%,"RD003, RD004, RD019, RD002, RD184",94.3%,"$20,588","$12,018","-$1,230"
13778,59329-17063000700,0.25,"$41,564",-1%,"RD178, RD010, RD020, RD063, RD186",93.5%,"$23,420","$13,325","-$1,304"
13779,59329-17063000500,0.29,"$36,718",-1%,"RD005, RD020, RD006, RD003, RD004",92.9%,"$21,402","$11,947","-$1,409"
13780,59329-17063000400,17.93,"$35,391",-1%,"RD038, RD017, RD155, RD011, RD015",94.1%,"$29,243","$16,647","-$1,568"
13781,59329-17063000300,24.14,"$29,290",-1%,"RD016, RD015, RD017, RD038, RD078",91.1%,"$26,409","$15,500","-$1,244"
13782,59329-17063000200,0.36,"$38,866",-1%,"RD178, RD063, RD020, RD012, RD005",94.0%,"$22,306","$12,264","-$1,129"
13783,68941-,0.92,"$34,431",-1%,"RD155, RD063, RD178, RD038, RD060",90.5%,"$24,792","$14,466","-$1,124"
13784,50149-,13.71,"$21,501",-0%,"RD064, RD077, RD164, RD127, RD173",93.5%,"$15,892","$7,845","-$1,240"
13785,02845-,0.23,"$27,267",-1%,"RD140, RD186, RD187, RD049, RD132",91.4%,"$23,551","$13,806","-$1,092"
13786,49798-,3.63,"$18,545",0%,"RD189, RD082, RD101, RD077, RD085",92.6%,"$16,721","$8,770","-$1,459"
13787,23176-39161020100,0.01,"$29,632",-0%,"RD113, RD175, RD186, RD168, RD106",93.2%,"$15,417","$8,106",-$868
13788,23176-39161020500,11.21,"$23,836",-0%,"RD077, RD101, RD127, RD064, RD150",93.2%,"$15,649","$8,369",-$930
13789,23176-39003014000,1.9,"$30,714",-1%,"RD002, RD091, RD113, RD149, RD155",95.2%,"$16,298","$8,062","-$1,035"
13790,23176-39003013900,1.38,"$28,382",-1%,"RD155, RD038, RD002, RD091, RD059",93.9%,"$20,072","$10,371","-$1,241"
13791,23176-39137030700,0.01,"$35,149",-0%,"RD020, RD005, RD149, RD002, RD113",92.5%,"$18,058","$10,113",-$929
13792,07813-,0.33,"$28,538",1%,"RD118, RD198, RD096, RD010, RD039",83.3%,"$26,009","$14,778","-$1,363"
13793,13267-08043979100,0.08,"$29,021",0%,"RD148, RD083, RD037, RD002, RD006",88.8%,"$22,085","$13,001","-$1,143"
13794,13267-08043979200,0.23,"$48,389",0%,"RD083, RD053, RD118, RD086, RD046",81.5%,"$24,158","$14,347","-$1,295"
13795,13267-08043978600,232.72,"$21,664",0%,"RD051, RD068, RD067, RD070, RD069",91.8%,"$17,550","$9,460","-$1,194"
13796,13267-08043978400,10.41,"$23,438",0%,"RD017, RD065, RD030, RD077, RD103",92.9%,"$23,747","$13,224","-$1,836"
13797,13267-08043978500,15.16,"$27,003",0%,"RD038, RD017, RD155, RD030, RD077",93.7%,"$23,282","$11,822","-$1,845"
13798,13267-08043980300,73.62,$14,0%,"RD114, RD130, RD154, RD146, RD110",82.3%,"$17,510","$9,625","-$1,131"
13799,13267-08043978300,1.33,"$23,952",0%,"RD118, RD185, RD064, RD049, RD061",89.2%,"$29,176","$18,227","-$1,384"
13800,13267-08043978800,29.0,"$29,282",0%,"RD059, RD101, RD037, RD076, RD083",92.3%,"$15,597","$7,990","-$1,441"
13801,40780-01089000202,99.37,"$10,444",4%,"RD107, RD122, RD018, RD055, RD056",83.4%,"$16,951","$8,405","-$1,168"
13802,40780-01089001700,84.26,"$61,087",4%,"RD092, RD053, RD059, RD083, RD062",90.0%,"$19,736","$10,890","-$1,217"
13803,40780-01089001903,33.42,"$80,799",4%,"RD053, RD020, RD086, RD008, RD012",86.6%,"$18,661","$10,186","-$1,112"
13804,40780-01089011200,0.34,"$47,108",4%,"RD057, RD178, RD063, RD155, RD113",91.3%,"$19,984","$11,173",-$891
13805,40780-01089000302,179.97,"$14,896",4%,"RD141, RD159, RD139, RD067, RD069",88.7%,"$17,727","$8,640","-$1,634"
13806,40780-01089002400,344.18,"$14,229",4%,"RD051, RD052, RD108, RD156, RD093",87.9%,"$18,082","$9,909","-$1,440"
13807,40780-01089000901,27.4,"$37,761",4%,"RD111, RD113, RD031, RD001, RD155",92.8%,"$21,280","$12,431","-$1,227"
13808,40780-01089010623,10.92,"$39,529",4%,"RD126, RD135, RD133, RD005, RD083",90.4%,"$20,979","$11,860","-$1,385"
13809,40780-01089002502,85.99,"$17,875",4%,"RD144, RD139, RD181, RD162, RD131",87.5%,"$15,115","$7,305","-$1,619"
13810,40780-01089003000,249.01,"$16,427",4%,"RD051, RD157, RD171, RD143, RD139",88.6%,"$16,685","$7,390","-$1,778"
13811,40780-01089010702,7.52,"$32,242",4%,"RD127, RD113, RD101, RD188, RD092",92.4%,"$17,217","$8,945","-$1,127"
13812,40780-01089002922,52.21,"$48,782",4%,"RD059, RD083, RD092, RD062, RD037",91.7%,"$16,720","$8,297","-$1,183"
13813,40780-01089001801,18.85,"$58,110",4%,"RD053, RD020, RD062, RD083, RD092",91.2%,"$18,356","$10,096",-$876
13814,40780-01089011011,14.31,"$44,112",4%,"RD035, RD063, RD062, RD126, RD135",91.5%,"$16,239","$8,751",-$684
13815,40780-01089002911,66.65,"$39,684",4%,"RD111, RD113, RD058, RD047, RD062",92.7%,"$18,369","$10,016",-$873
13816,40780-01089001901,19.56,"$62,925",4%,"RD053, RD020, RD063, RD174, RD057",88.6%,"$18,351","$10,575",-$923
13817,40780-01089010800,4.25,"$36,601",4%,"RD005, RD020, RD063, RD062, RD045",92.6%,"$20,921","$11,625","-$1,004"
13818,40780-01089002722,40.88,"$48,074",4%,"RD092, RD062, RD155, RD059, RD047",92.5%,"$19,003","$10,199","-$1,139"
13819,40780-01089011014,20.74,"$48,334",4%,"RD062, RD111, RD053, RD174, RD026",92.4%,"$17,868","$9,942",-$699
13820,40780-01089002721,100.61,"$45,157",4%,"RD059, RD155, RD142, RD068, RD047",92.4%,"$20,374","$10,774","-$1,476"
13821,40780-01089011021,30.16,"$41,762",4%,"RD181, RD050, RD054, RD041, RD144",90.5%,"$20,867","$10,914","-$1,615"
13822,40780-01089000301,230.9,"$19,337",4%,"RD159, RD141, RD068, RD172, RD139",90.0%,"$16,697","$9,089","-$1,542"
13823,40780-01089010612,10.79,"$37,524",4%,"RD062, RD113, RD155, RD024, RD045",93.3%,"$19,927","$10,828",-$923
13824,40780-01089000902,174.01,"$36,801",4%,"RD176, RD177, RD172, RD047, RD142",90.6%,"$21,260","$11,723","-$1,711"
13825,40780-01089002912,35.35,"$46,039",4%,"RD092, RD062, RD059, RD053, RD174",91.8%,"$18,435","$9,777","-$1,199"
13826,40780-01089002802,52.99,"$38,927",4%,"RD111, RD026, RD062, RD113, RD074",92.6%,"$20,143","$11,143","-$1,058"
13827,40780-01089010901,3.42,"$54,221",4%,"RD057, RD063, RD062, RD174, RD053",90.3%,"$17,253","$8,540",-$772
13828,40780-01089010624,13.92,"$41,399",4%,"RD083, RD059, RD126, RD135, RD092",91.0%,"$17,817","$9,338","-$1,114"
13829,40780-01083020802,2.25,"$33,553",4%,"RD174, RD062, RD076, RD113, RD057",92.0%,"$22,250","$12,657","-$1,414"
13830,40780-01089010501,10.13,"$38,109",4%,"RD057, RD063, RD174, RD062, RD113",92.8%,"$18,613","$9,638",-$720
13831,40780-01089002921,76.79,"$37,557",4%,"RD155, RD059, RD188, RD038, RD079",92.7%,"$18,756","$10,415","-$1,196"
13832,19450-,3.56,"$22,073",1%,"RD101, RD131, RD188, RD041, RD077",95.0%,"$21,067","$12,166","-$1,278"
13833,58708-,3.95,"$23,358",-1%,"RD144, RD055, RD056, RD151, RD076",86.5%,"$20,397","$10,748","-$1,358"
13834,67402-05055480200,0.34,"$24,223",-1%,"RD064, RD049, RD129, RD167, RD127",92.9%,"$17,376","$9,247","-$1,118"
13835,67402-05055480700,12.04,"$13,922",-1%,"RD090, RD152, RD130, RD082, RD134",89.0%,"$19,768","$10,601","-$1,619"
13836,67402-05055480300,0.06,"$26,962",-1%,"RD115, RD113, RD148, RD186, RD061",92.1%,"$25,774","$14,288","-$1,454"
13837,67402-05055480400,29.12,"$23,685",-1%,"RD130, RD101, RD082, RD188, RD146",91.1%,"$19,468","$11,356","-$1,221"
13838,67402-05055480802,18.18,"$31,009",-1%,"RD152, RD155, RD101, RD059, RD005",90.6%,"$17,140","$8,422","-$1,397"
13839,67402-05055480801,29.54,"$25,152",-1%,"RD059, RD155, RD113, RD101, RD002",92.7%,"$17,452","$9,264","-$1,149"
13840,67402-05055480500,32.12,"$15,328",-1%,"RD130, RD069, RD067, RD070, RD188",91.2%,"$18,030","$10,414","-$1,212"
13841,67402-05055480100,0.2,"$22,551",-1%,"RD179, RD189, RD082, RD120, RD187",91.8%,"$20,308","$11,080","-$1,490"
13842,67402-05055480600,0.26,"$26,155",-1%,"RD187, RD167, RD049, RD064, RD129",93.0%,"$15,040","$7,619","-$1,042"
13843,34826-,0.88,"$23,808",1%,"RD188, RD133, RD029, RD024, RD045",93.5%,"$24,689","$14,516","-$1,450"
13844,37918-,26.71,"$12,944",-1%,"RD112, RD163, RD132, RD088, RD064",91.9%,"$11,335","$4,313","-$1,367"
13845,35623-,4.11,"$26,119",-1%,"RD138, RD106, RD104, RD188, RD017",91.0%,"$16,773","$8,710","-$1,423"
