,zoneid,crimes per sq. mile,per capita income,pop. change,most similar RD stores,RD match index,similar store revenue,similar store noi,similar store bad debt
169,16264-17093890400,2.9,"$35,874",-1%,"RD003, RD004, RD006, RD019, RD137",100.0%,"$24,112","$13,908","-$1,353"
170,68509-17143003402,3.39,"$57,361",-1%,"RD008, RD005, RD020, RD012, RD006",100.0%,"$20,538","$10,882","-$1,407"
171,75718-17201980000,107.31,$nan,-1%,"RD009, RD158, RD162, RD144, RD043",99.7%,"$17,473","$8,596","-$1,242"
172,16264-18089043001,3.55,"$36,384",-1%,"RD058, RD026, RD063, RD113, RD174",100.0%,"$19,955","$11,189",-$942
173,76474-17097860810,3.98,"$39,783",-1%,"RD019, RD004, RD003, RD010, RD014",94.9%,"$22,178","$12,865","-$1,049"
174,16264-17089850600,0.27,"$53,544",-1%,"RD086, RD006, RD004, RD003, RD083",100.0%,"$20,452","$12,351","-$1,032"
175,44506-17097860101,11.91,"$30,445",-1%,"RD011, RD017, RD038, RD016, RD015",100.0%,"$24,012","$13,124","-$1,382"
176,97129-17111870902,0.32,"$39,760",-1%,"RD006, RD004, RD003, RD024, RD045",100.0%,"$25,618","$14,592","-$1,475"
177,16264-17031830007,34.74,"$20,130",-1%,"RD021, RD038, RD007, RD023, RD025",100.0%,"$25,752","$13,014","-$1,763"
178,16264-17097861507,13.07,"$30,878",-1%,"RD023, RD015, RD016, RD017, RD084",100.0%,"$25,791","$14,643","-$1,476"
179,42562-55105001202,1.52,"$39,726",0%,"RD005, RD020, RD006, RD002, RD024",100.0%,"$21,477","$12,174","-$1,225"
180,46693-55127001702,0.09,"$30,363",0%,"RD010, RD074, RD058, RD178, RD024",100.0%,"$20,657","$11,367",-$886
181,57925-01097007101,22.74,"$19,480",-0%,"RD081, RD163, RD080, RD131, RD049",100.0%,"$16,202","$8,961","-$1,359"
182,61273-47147080606,1.42,"$28,690",3%,"RD029, RD031, RD045, RD024, RD113",100.0%,"$24,939","$15,005","-$1,573"
183,77770-17119403531,4.33,"$36,307",-0%,"RD026, RD058, RD074, RD174, RD024",100.0%,"$20,806","$11,809",-$851
184,73153-55101000600,66.58,"$18,324",-0%,"RD028, RD093, RD007, RD139, RD108",100.0%,"$16,648","$7,949","-$1,491"
185,28333-18163010100,16.65,"$30,985",0%,"RD054, RD050, RD181, RD183, RD182",100.0%,"$19,086","$9,618","-$1,218"
186,83993-47147080402,16.99,"$22,535",3%,"RD031, RD113, RD025, RD029, RD041",100.0%,"$22,106","$12,856","-$1,492"
187,28333-18163003804,16.91,"$31,114",0%,"RD113, RD065, RD104, RD106, RD075",94.9%,"$19,916","$11,194","-$1,219"
188,96049-21049020600,1.27,"$27,183",1%,"RD049, RD187, RD163, RD174, RD113",100.0%,"$17,656","$9,663","-$1,200"
189,87139-18167010600,0.5,"$36,071",-1%,"RD044, RD027, RD168, RD190, RD187",100.0%,"$20,031","$11,274","-$1,250"
190,77770-17119403402,46.42,"$25,776",-0%,"RD025, RD038, RD031, RD011, RD113",100.0%,"$21,572","$11,675","-$1,428"
191,22717-17115002402,5.27,"$47,628",-1%,"RD036, RD001, RD017, RD106, RD104",100.0%,"$17,650","$9,677","-$1,046"
192,22960-17037001001,22.15,"$20,739",-1%,"RD018, RD130, RD162, RD144, RD007",100.0%,"$18,595","$10,165","-$1,027"
193,57466-55079000202,53.53,"$27,280",0%,"RD043, RD026, RD031, RD074, RD182",100.0%,"$21,147","$11,949","-$1,520"
194,17317-47125101201,62.65,"$22,223",3%,"RD093, RD028, RD025, RD139, RD130",89.2%,"$19,637","$10,303","-$1,865"
195,61273-47189030308,26.6,"$32,641",3%,"RD035, RD063, RD058, RD004, RD003",100.0%,"$19,082","$10,888","-$1,102"
196,61273-47165020902,20.97,"$26,493",3%,"RD041, RD077, RD101, RD031, RD074",100.0%,"$22,020","$12,557","-$1,672"
197,22960-17037000800,7.42,"$34,958",-1%,"RD017, RD011, RD015, RD016, RD001",100.0%,"$22,969","$12,573","-$1,367"
198,28333-18163010201,2.19,"$53,321",0%,"RD053, RD174, RD020, RD083, RD005",100.0%,"$18,842","$10,042","-$1,012"
199,18991-47119011101,2.43,"$36,183",3%,"RD037, RD005, RD083, RD006, RD059",100.0%,"$19,876","$10,647","-$1,479"
200,57925-01097006402,25.69,"$21,307",-0%,"RD082, RD085, RD187, RD101, RD017",100.0%,"$16,398","$8,985","-$1,320"
201,57925-01097006404,31.74,"$26,101",-0%,"RD084, RD113, RD025, RD011, RD031",100.0%,"$22,820","$12,918","-$1,496"
202,57925-01097006801,13.46,"$40,672",-0%,"RD083, RD059, RD053, RD020, RD005",100.0%,"$18,907","$10,289","-$1,139"
203,51755-21185030602,6.7,"$36,265",0%,"RD063, RD178, RD058, RD057, RD186",100.0%,"$17,973","$9,679",-$938
204,51755-18019050703,4.86,"$27,823",0%,"RD064, RD113, RD127, RD065, RD101",100.0%,"$15,495","$8,023","-$1,126"
205,13537-29031881500,0.97,"$33,287",0%,"RD061, RD113, RD186, RD132, RD049",100.0%,"$20,120","$11,086","-$1,135"
